City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
122,barrancabermeja,7.0653,-73.8547,24.74,93,44,0.79,CO,1712373435
123,hawaiian paradise park,19.5933,-154.9731,20.73,93,100,4.12,US,1712373435
124,olonkinbyen,70.9221,-8.7187,-6.82,63,100,6.68,SJ,1712373436
125,mawu,29.5923,107.3139,15.52,74,91,1.33,CN,1712373436
126,keflavik,64.0049,-22.5624,-1.76,64,0,3.6,IS,1712373436
127,trairi,-3.2778,-39.2689,24.41,93,52,0.51,BR,1712373236
128,ivanteyevka,55.9711,37.9208,1.51,69,100,1.79,RU,1712373437
129,lorengau,-2.0226,147.2712,29.65,73,59,3.54,PG,1712373437
130,longyearbyen,78.2186,15.6401,-23.09,70,20,2.06,SJ,1712373358
131,lianjiang,21.6467,110.2817,29.24,59,45,7.77,CN,1712373438
132,tibati,6.4667,12.6333,20.67,87,100,1.26,CM,1712373209
133,birzebbuga,35.8258,14.5269,12.38,87,0,1.54,MT,1712373438
134,acajutla,13.5928,-89.8275,27.73,80,0,1.83,SV,1712373392
135,lebu,-37.6167,-73.65,11.53,94,5,3.54,CL,1712373438
136,hamilton,39.1834,-84.5333,5.57,82,0,2.68,US,1712373431
137,jardim,-21.4803,-56.1381,24.86,77,96,0.75,BR,1712373439
138,kysucke nove mesto,49.3,18.7833,12.72,91,0,1.03,SK,1712373439
139,newman,37.3138,-121.0208,9.03,84,13,2.24,US,1712373314
140,colonia,50.9333,6.95,15.41,82,0,3.09,DE,1712373228
141,iquique,-20.2208,-70.1431,19.93,83,95,0.35,CL,1712373140
142,ain sefra,32.75,-0.5833,14.97,41,6,2.06,DZ,1712373440
143,el calafate,-50.3408,-72.2768,9.26,76,12,1.75,AR,1712373440
144,guajara mirim,-10.7828,-65.3394,24.07,91,100,0.94,BR,1712373440
145,yellowknife,62.456,-114.3525,-4.77,95,10,3.37,CA,1712373441
146,ketchikan,55.3422,-131.6461,4.26,87,100,6.17,US,1712373441
147,buala,-8.145,159.5921,29.13,80,65,2.54,SB,1712373441
148,katabu,-4.9333,122.5167,30.23,75,54,1.23,ID,1712373441
149,anna regina,7.2644,-58.5077,26.48,82,61,4.26,GY,1712373442
150,tanda,26.55,82.65,33.32,9,92,4.19,IN,1712373442
151,margaret river,-33.95,115.0667,26.46,32,0,2.33,AU,1712373442
152,eket,4.6412,7.9209,26.25,81,100,1.56,NG,1712373442
153,olyokminsk,60.3736,120.4264,-15.44,61,100,4.64,RU,1712373442
154,fort bragg,35.139,-79.006,10.91,46,75,3.09,US,1712373443
155,ibadan,7.3878,3.8964,22.96,88,100,2.14,NG,1712373303
156,ribeira grande,38.5167,-28.7,12.65,77,8,4.92,PT,1712373443
157,lihue,21.9789,-159.3672,26.58,72,100,10.29,US,1712373443
158,hobyo,5.3505,48.5268,28.02,71,77,5.0,SO,1712373444
159,bredasdorp,-34.5322,20.0403,14.97,79,100,7.58,ZA,1712373314
160,taghazout,30.5426,-9.7112,24.43,19,89,9.33,MA,1712373444
161,tolanaro,-25.0319,46.9987,21.53,93,16,2.98,MG,1712373409
162,chibougamau,49.9168,-74.3659,-0.82,91,100,2.28,CA,1712373444
163,tazovsky,67.4667,78.7,-20.46,89,11,6.21,RU,1712373445
164,aasiaat,68.7098,-52.8699,-12.83,94,100,5.24,GL,1712373445
165,axim,4.8699,-2.2405,27.2,85,79,2.79,GH,1712373445
166,caburan,5.9181,125.6411,27.79,71,44,6.24,PH,1712373445
167,abu jibeha,11.4562,31.2285,28.21,19,66,2.49,SD,1712373446
168,rawson,-43.3002,-65.1023,19.55,29,0,9.41,AR,1712373446
169,hasaki,35.7333,140.8333,14.05,91,100,3.92,JP,1712373446
170,coquimbo,-29.9533,-71.3436,16.63,80,0,1.49,CL,1712373071
171,hammerfest,70.6634,23.6821,-9.75,79,94,0.0,NO,1712373447
172,luanda,-8.8368,13.2343,26.05,83,100,3.54,AO,1712373301
173,karratha,-20.7377,116.8463,33.0,18,84,7.42,AU,1712373447
174,mata-utu,-13.2816,-176.1745,29.05,73,100,2.1,WF,1712373447
175,kayangel,8.0823,134.7173,28.0,72,45,9.69,PW,1712373447
176,guerrero negro,27.9769,-114.0611,15.36,56,100,8.26,MX,1712373448
177,essaouira,31.5125,-9.77,19.41,69,99,5.5,MA,1712373448
178,nadi,-17.8,177.4167,31.0,62,20,5.66,FJ,1712373332
179,port blair,11.6667,92.75,29.84,63,20,1.7,IN,1712373448
180,vernon,50.2581,-119.2691,7.94,76,98,1.79,CA,1712373338
181,ola,59.5833,151.2833,-2.7,74,65,0.6,RU,1712373449
182,pursat,12.3333,103.6667,34.98,40,1,1.34,KH,1712373449
183,porthcawl,51.479,-3.7036,13.98,88,100,10.55,GB,1712373273
184,creel,27.75,-107.6333,4.96,40,3,6.02,MX,1712373449
185,khilok,51.3674,110.4676,0.63,81,100,7.02,RU,1712373449
186,blackwater,-23.5833,148.8833,27.32,65,100,4.26,AU,1712373450
187,alofi,-19.0595,-169.9187,28.94,74,40,4.63,NU,1712373450
188,birjand,32.8663,59.2211,13.26,24,0,4.12,IR,1712373450
189,slave lake,55.2834,-114.769,1.99,93,100,1.03,CA,1712373451
190,gubkinskiy,64.434,76.5026,-15.13,81,100,7.73,RU,1712373451
191,blagodatnoye,45.3997,42.5867,7.51,87,14,3.91,RU,1712373451
192,douz,33.4663,9.0203,16.24,50,0,4.86,TN,1712373451
193,kapuskasing,49.4169,-82.4331,-0.67,94,65,3.94,CA,1712373451
194,balabac,7.9868,117.0645,30.37,68,100,6.1,PH,1712373452
195,blackfoot,43.1905,-112.345,0.59,93,79,6.0,US,1712373452
196,baishishan,43.5833,127.5667,15.48,31,43,7.86,CN,1712373452
197,yemetsk,63.4721,41.7941,-8.85,84,100,3.84,RU,1712373452
198,haines city,28.1142,-81.6179,18.86,69,0,2.57,US,1712373452
199,smithers,54.7804,-127.1743,3.72,67,100,1.13,CA,1712373312
200,aykhal,66.0,111.5,-20.76,90,68,4.47,RU,1712373453
201,makaha,21.4694,-158.2175,24.95,83,100,3.6,US,1712373453
202,talnakh,69.4865,88.3972,-8.77,94,100,7.9,RU,1712373453
203,aswan,24.0934,32.907,23.93,17,0,5.85,EG,1712372892
204,sarioglan,39.0769,35.9667,6.02,73,2,1.86,TR,1712373454
205,kourou,5.1552,-52.6478,28.03,87,100,3.17,GF,1712373454
206,floro,61.5996,5.0328,1.04,69,20,2.06,NO,1712373454
207,constantia,44.1833,28.65,7.38,66,6,2.11,RO,1712373454
208,ibresi,55.2961,47.0394,-1.96,80,100,4.64,RU,1712373455
209,namdrik,5.5994,168.1028,26.89,85,99,8.46,MH,1712373455
210,oppdal,62.5943,9.6912,-9.77,88,38,2.54,NO,1712373455
211,portland,45.5234,-122.6762,8.97,85,75,4.47,US,1712372724
212,haiku-pauwela,20.9219,-156.3051,24.01,86,75,9.26,US,1712373456
213,abqaiq,25.9371,49.6776,23.63,26,0,2.1,SA,1712373456
214,rio tuba,8.5061,117.4317,30.5,66,80,5.34,PH,1712373456
215,vorgashor,67.5833,63.95,-14.62,91,100,8.72,RU,1712373456
216,broken hill,-31.95,141.4333,18.23,57,99,7.55,AU,1712373457
217,punta arenas,-53.15,-70.9167,11.06,71,40,8.75,CL,1712373248
218,carauari,-4.8828,-66.8958,24.11,97,100,0.8,BR,1712373457
219,makinsk,52.6292,70.4169,4.95,82,13,2.35,KZ,1712373255
220,puerto maldonado,-12.6,-69.1833,25.0,95,92,1.0,PE,1712373457
221,novopskov,49.5464,39.0899,3.0,80,0,1.39,UA,1712373457
222,uvira,-3.4067,29.1458,22.25,87,100,1.53,CD,1712373458
223,sambava,-14.2667,50.1667,24.79,89,58,3.82,MG,1712373458
224,abuja,9.0574,7.4898,24.94,75,100,1.53,NG,1712373458
225,hornsea,53.9104,-0.1681,13.15,94,100,3.09,GB,1712373458
226,kristiansund,63.1115,7.732,1.36,64,100,1.54,NO,1712373458
